"Naam","Telefoon","Mail"
"The Peninsula","0000-99-999-999","info@peninsula.fr"
"Regent Berlin","0000-99-999-999","info@regentberlin.de"
"Brown's Hotel","0000-99-999-999","info@brownshotel.co.uk"
"Grand Hotel Du Palais Royal","0000-99-999-999","info@grandhoteldupalaisroyal.fr"
"The Savoy","0000-99-999-999","info@thesavoy.co.uk"
"George V","0000-99-999-999","info@georgev.fr"
"The Ritz London","0000-99-999-999","info@theritzlondon.co.uk"
"Le Royal Monceau","0000-99-999-999","info@leroyalmonceau.fr"
"Grand Hyatt","0000-99-999-999","info@grandhyatt.de"
"The Langham","0000-99-999-999","info@thelangham.co.uk"
"The Ritz-Carlton","0000-99-999-999","info@theritzcarlton.de"
"Ritz Paris","0000-99-999-999","info@ritzparis.fr"
"Hotel de Rome","0000-99-999-999","info@hotelderome.de"
